scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
C2-F-A-094,confirmatory_final,127,A_full_nonlinear,delay_increase,low,4.0,300.0,bridge,simultaneous,area0,-1,OOD,131.28853459939063,131.28853459939063,,0.35,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-095,confirmatory_final,133,A_full_nonlinear,delay_increase,low,4.0,300.0,bridge,simultaneous,both,1,known,109.37493805048277,109.37493805048277,191.37493805048277,0.65,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-096,confirmatory_final,139,A_full_nonlinear,delay_increase,low,4.0,300.0,infeasible,before,area0,1,OOD,126.0060751896918,108.26451581559107,,0.35,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-097,confirmatory_final,145,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,simultaneous,both,1,OOD,106.39478194593548,106.39478194593548,188.39478194593548,0.5,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-098,confirmatory_final,151,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,before,both,-1,known,103.44054654805734,88.05577679415782,,0.5,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-099,confirmatory_final,157,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,after,area1,1,OOD,116.21309426123581,131.06193718816257,,0.65,0.0,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-100,confirmatory_final,104,A_full_nonlinear,delay_increase,high,2.0,300.0,bridge,before,both,1,known,129.94012905868152,113.67152853654335,,0.65,0.0002,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-101,confirmatory_final,110,A_full_nonlinear,delay_increase,high,2.0,300.0,bridge,after,area0,1,known,105.28327789361641,118.21600154992768,,0.35,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-102,confirmatory_final,116,A_full_nonlinear,delay_increase,high,2.0,300.0,sustainable,after,both,-1,OOD,130.82156257015998,147.67976934280736,212.82156257015998,0.5,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-103,confirmatory_final,122,A_full_nonlinear,delay_increase,high,2.0,300.0,sustainable,simultaneous,area0,-1,OOD,119.8366879899606,119.8366879899606,,0.5,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-104,confirmatory_final,128,A_full_nonlinear,delay_increase,high,2.0,300.0,sustainable,after,both,1,OOD,129.36694265964942,147.49488250923883,,0.35,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-105,confirmatory_final,134,A_full_nonlinear,delay_increase,high,2.0,300.0,sustainable,before,area0,1,known,112.74710225234823,91.57352405335972,194.7471022523482,0.35,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-106,confirmatory_final,140,A_full_nonlinear,delay_increase,high,2.0,300.0,infeasible,simultaneous,area1,1,OOD,131.5871047329453,131.5871047329453,,0.5,0.0002,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-107,confirmatory_final,146,A_full_nonlinear,delay_increase,high,2.0,300.0,sustainable,before,area1,1,known,108.03029461352364,90.98526223236702,,0.65,0.0001,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-108,confirmatory_final,152,A_full_nonlinear,delay_increase,high,2.0,300.0,bridge,simultaneous,area1,1,OOD,124.02944143724099,124.02944143724099,,0.65,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-109,confirmatory_final,158,A_full_nonlinear,delay_increase,high,2.0,300.0,infeasible,before,area0,-1,known,112.34162490907593,100.6897898503835,,0.5,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-110,confirmatory_final,105,A_full_nonlinear,delay_increase,high,4.0,300.0,sustainable,before,area0,1,OOD,118.21018577057443,96.8440678621055,,0.65,0.0,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-111,confirmatory_final,111,A_full_nonlinear,delay_increase,high,4.0,300.0,sustainable,simultaneous,area0,-1,known,121.26512474840025,121.26512474840025,,0.5,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-112,confirmatory_final,117,A_full_nonlinear,delay_increase,high,4.0,300.0,bridge,simultaneous,area0,1,known,109.33082206691866,109.33082206691866,191.33082206691864,0.35,0.0002,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-113,confirmatory_final,123,A_full_nonlinear,delay_increase,high,4.0,300.0,sustainable,after,both,1,OOD,121.9093226675345,143.90094655255726,,0.5,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-114,confirmatory_final,129,A_full_nonlinear,delay_increase,high,4.0,300.0,bridge,before,area1,1,known,115.24136881535227,93.39552008957521,,0.5,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-115,confirmatory_final,135,A_full_nonlinear,delay_increase,high,4.0,300.0,sustainable,before,area1,1,OOD,131.23444542595084,117.03893830765986,,0.35,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-116,confirmatory_final,141,A_full_nonlinear,delay_increase,high,4.0,300.0,bridge,after,area1,-1,OOD,123.22046299017615,136.52407273641649,205.22046299017615,0.5,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-117,confirmatory_final,147,A_full_nonlinear,delay_increase,high,4.0,300.0,infeasible,before,area0,-1,OOD,133.81063148342884,123.64669376554838,,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-118,confirmatory_final,153,A_full_nonlinear,delay_increase,high,4.0,300.0,infeasible,after,both,1,known,127.20803976212889,137.26340475739528,,0.65,0.0002,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-119,confirmatory_final,159,A_full_nonlinear,delay_increase,high,4.0,300.0,sustainable,simultaneous,both,1,known,105.763119208841,105.763119208841,,0.35,0.0002,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
